"YearBuilt","YearRemodeled","Condition","NumStories","FinSqFt","Bedroom","FullBath","HalfBath","TotalRooms","LotSize","TotalValue","City"
1800,NA,"Average",2,3266,3,1,1,7,NA,NA,NA
1754,NA,"Average",1.3,841,2,1,0,0,NA,NA,NA
1754,NA,"Fair",1,758,1,1,0,3,NA,NA,NA
1754,NA,"Fair",1,1104,3,1,0,7,NA,NA,NA
1993,NA,"Good",1,6010,4,4,1,9,222,2832400,"SCOTTSVILLE"
1925,NA,"Average",2,2068,3,2,0,6,17.15,287600,"ESMONT"
1950,NA,"Fair",1,1596,3,1,0,5,NA,NA,NA
1754,NA,"Fair",1,1140,2,1,0,4,NA,NA,NA
1959,NA,"Average",1,1002,2,1,0,5,NA,NA,NA
1754,NA,"Average",2,1680,3,1,0,5,NA,NA,NA
1997,NA,"Fair",1,1404,2,1,NA,NA,NA,NA,NA
1996,2021,"Average",2,3840,4,3,0,6,120.925,985100,"ESMONT"
1987,NA,"Average",1,1801,3,2,0,6,24.823,421500,"ESMONT"
2000,NA,"Average",1.5,1863,2,2,1,4,21.768,480100,"ESMONT"
NA,NA,NA,1.61,2591,4,3,1,8,85.882,821300,"ESMONT"
1790,1998,"Average",2,5090,4,3,1,10,NA,NA,NA
1754,1998,"Average",1,675,1,1,0,4,NA,NA,NA
1754,1998,"Average",1.5,1287,2,1,0,5,NA,NA,NA
1754,1998,"Average",1,1120,2,1,0,4,NA,NA,NA
1754,1997,"Average",1,1116,2,1,0,4,NA,NA,NA
1976,NA,"Average",1,5509,5,5,1,10,NA,NA,NA
1983,NA,"Average",1.5,1148,4,2,0,6,NA,NA,NA
1930,1985,"Fair",1.7,1904,3,2,1,6,6.42,289600,"SCOTTSVILLE"
1964,NA,"Fair",1,2677,3,2,1,7,4.64,527000,"SCOTTSVILLE"
1799,2005,"Good",2,4755,3,4,1,9,NA,NA,NA
1754,NA,"Average",1,840,2,1,0,3,NA,NA,NA
1989,NA,"Good",1.5,1366,0,2,0,4,NA,NA,NA
2001,NA,"Average",2.3,7575,5,6,2,11,98.23,2548100,"SCOTTSVILLE"
1997,2012,"Good",1.75,2763,3,3,1,6,3.196,558400,"SCOTTSVILLE"
1980,NA,"Fair",1,845,2,1,NA,4,NA,NA,NA
1977,NA,"Good",1.7,3200,5,3,0,9,0,401600,NA
1977,NA,"Good",1.7,3200,5,3,0,9,14.36,463800,"SCOTTSVILLE"
2020,NA,"Average",1.65,1720,3,3,0,6,5.54,321400,"SCOTTSVILLE"
1998,NA,"Average",1,1120,2,2,0,3,2.783,197400,"SCOTTSVILLE"
1900,1978,"Good",2,3315,4,2,1,8,NA,NA,NA
1982,NA,"Average",1.5,1170,2,1,0,3,NA,NA,NA
2003,NA,"Average",1.5,3108,1,2,1,7,0,1536200,NA
1921,2004,"Good",2,2596,4,2,0,7,9.498,577400,"SCOTTSVILLE"
2003,NA,"Average",1.5,3108,1,2,1,7,0,935600,NA
2003,NA,"Average",1.5,3108,1,2,1,7,12,568700,"SCOTTSVILLE"
1920,1997,"Average",1,1683,3,2,0,5,2.446,254900,"SCOTTSVILLE"
2005,NA,"Fair",1.5,2564,4,3,1,7,2,368000,"SCOTTSVILLE"
2002,NA,"Fair",2,2492,3,2,1,0,6.009,284000,"SCOTTSVILLE"
2007,NA,"Average",1,1680,3,3,0,6,3.004,393000,"SCOTTSVILLE"
2004,NA,"Average",1.3,2746,2,2,1,7,5.231,617200,"SCOTTSVILLE"
2001,NA,"Average",1,2208,4,4,0,7,21,488300,"SCOTTSVILLE"
2001,NA,"Average",1.3,3358,5,4,1,8,21,674200,"SCOTTSVILLE"
2018,NA,"Average",1.67,2018,1,1,1,1,21,825300,"SCOTTSVILLE"
NA,NA,NA,1.34,3528,3,4,1,7,5.6,607000,"SCOTTSVILLE"
NA,NA,NA,1,1145,2,1,0,4,5.33,232100,"SCOTTSVILLE"
2006,NA,"Average",1.5,3374,4,3,1,8,5.68,515200,"SCOTTSVILLE"
2006,NA,"Average",1.3,2832,4,3,1,8,5,548400,"SCOTTSVILLE"
NA,NA,NA,1.23,2997,3,2,1,6,21,566500,"SCOTTSVILLE"
NA,NA,NA,1,2422,3,3,0,7,5.01,493300,"SCOTTSVILLE"
NA,NA,NA,1.67,3343,4,3,1,10,21.01,824000,"SCOTTSVILLE"
2018,NA,"Average",2,3060,3,3,1,6,24.77,573400,"SCOTTSVILLE"
2007,NA,"Average",1.5,2853,4,3,1,9,7.55,555400,"SCOTTSVILLE"
2006,NA,"Average",1.5,3094,4,3,1,9,6.31,564800,"SCOTTSVILLE"
1920,1973,"Average",2,1973,4,2,1,7,NA,NA,NA
1975,1998,"Average",1,1720,2,1,0,4,NA,NA,NA
1988,NA,"Average",1,1008,2,1,0,4,NA,NA,NA
1921,NA,"Average",1,1161,3,1,0,7,1.41,126500,"SCOTTSVILLE"
1951,2001,"Average",1,1183,3,2,0,6,0.63,107200,"SCOTTSVILLE"
1940,NA,"Average",1.75,1260,3,1,0,6,NA,NA,NA
1991,NA,"Average",1.5,1440,4,2,0,6,NA,NA,NA
NA,NA,NA,1,1008,2,1,0,4,2.16,203900,"SCOTTSVILLE"
NA,NA,NA,1,1008,3,1,0,4,3.52,211400,"SCOTTSVILLE"
NA,NA,NA,1,1008,2,1,0,4,2.08,206100,"SCOTTSVILLE"
1976,NA,"Fair",1,1491,3,1,1,6,76.5,567000,"SCOTTSVILLE"
1900,2006,"Average",2,3360,4,2,1,8,77.694,997700,"SCOTTSVILLE"
1910,NA,"Average",1,3014,4,2,1,8,365.164,2314200,"SCOTTSVILLE"
1978,NA,"Excellent",1,978,2,1,1,3,2.261,200800,"SCOTTSVILLE"
1947,NA,"Average",1,2289,2,1,1,8,7.05,322700,"SCOTTSVILLE"
1754,NA,"Fair",0,1104,2,1,0,0,2,135700,"SCOTTSVILLE"
1992,NA,"Average",1,1984,4,3,1,8,4.83,465900,"SCOTTSVILLE"
1965,NA,"Fair",1,1032,3,1,0,5,NA,NA,NA
1754,NA,"Poor",2,1812,2,1,0,6,NA,NA,NA
1962,NA,"Average",1,1450,3,2,0,7,2,278400,"SCOTTSVILLE"
1988,2020,"Average",1.5,2603,4,3,0,9,5.028,405400,"SCOTTSVILLE"
1978,NA,"Average",1,1846,3,3,0,8,2,335300,"SCOTTSVILLE"
1995,NA,"Average",2,2203,3,2,1,7,4,351100,"SCOTTSVILLE"
1965,NA,"Average",1,1565,3,2,0,6,5.89,293900,"SCOTTSVILLE"
1973,NA,"Average",1,1508,5,3,0,9,2.002,337800,"SCOTTSVILLE"
1974,NA,"Average",1,1711,4,2,0,8,2,307700,"SCOTTSVILLE"
1981,NA,"Average",1,1511,4,3,0,8,2,303200,"SCOTTSVILLE"
1975,NA,"Average",1,1188,3,1,1,6,2,236700,"SCOTTSVILLE"
2001,NA,"Average",2,2464,3,2,1,9,4.004,293500,"SCOTTSVILLE"
1970,NA,"Average",1,1881,3,2,2,7,2.025,339800,"SCOTTSVILLE"
1978,NA,"Average",2,2128,4,2,1,8,2,274100,"SCOTTSVILLE"
1995,NA,"Fair",1,1288,3,2,0,6,2,208400,"SCOTTSVILLE"
1970,NA,"Poor",1,1075,3,1,0,5,2.013,136100,"SCOTTSVILLE"
1978,NA,"Average",1,2029,3,2,0,7,2,300400,"SCOTTSVILLE"
2005,NA,"Average",1.3,1834,3,2,1,6,2,398500,"SCOTTSVILLE"
1993,NA,"Average",1,1352,3,2,0,6,2.428,249600,"SCOTTSVILLE"
1996,NA,"Average",1,1828,3,2,0,6,2.396,290500,"SCOTTSVILLE"
2004,NA,"Average",1.5,2484,3,3,1,6,3.428,442800,"SCOTTSVILLE"
1948,NA,"Good",1.3,2083,4,2,1,7,159.31,1112200,"SCOTTSVILLE"
1984,NA,"Fair",2.3,3240,5,3,1,10,8.5,454600,"SCOTTSVILLE"
1915,2003,"Good",1.65,2232,3,2,0,6,114.97,1033400,"SCOTTSVILLE"
1973,NA,"Good",1,1566,3,2,0,7,6.269,377200,"SCOTTSVILLE"
1754,2009,"Good",2,3802,3,3,0,8,NA,NA,NA
1754,1988,"Average",1,924,2,1,0,0,NA,NA,NA
1754,1991,"Average",2,2760,4,2,1,9,NA,NA,NA
1754,1989,"Average",2,1372,3,2,0,7,NA,NA,NA
1754,1988,"Average",1,1300,3,1,0,5,NA,NA,NA
1754,1991,"Average",1,902,2,1,0,4,NA,NA,NA
1754,2005,"Good",2,1976,3,2,0,6,NA,NA,NA
1754,1988,"Average",2,1288,3,2,0,5,NA,NA,NA
1754,1988,"Average",1,636,2,1,0,4,NA,NA,NA
1949,NA,"Average",1.5,2016,3,1,1,6,204.223,1316200,"SCOTTSVILLE"
1987,NA,"Good",2,2184,4,3,0,8,2.053,379400,"SCOTTSVILLE"
2007,NA,"Average",1,1798,3,2,1,6,2.064,316500,"SCOTTSVILLE"
1930,NA,"Average",1,1395,1,1,0,4,NA,NA,NA
1980,2009,"Good",1,1296,3,2,0,5,NA,NA,NA
1916,NA,"Very Poor",1,1283,3,1,0,6,1.41,94600,"SCOTTSVILLE"
1966,NA,"Average",1,1215,3,1,0,6,23.07,363900,"SCOTTSVILLE"
1964,NA,"Average",1,1157,3,1,0,5,1,213600,"SCOTTSVILLE"
1958,NA,"Average",1,1104,3,1,0,5,1,146000,"SCOTTSVILLE"
1913,1968,"Average",2,3422,5,2,0,9,65.14,932100,"SCOTTSVILLE"
1973,NA,"Average",1,1075,3,1,0,5,NA,NA,NA
1754,1994,"Average",1,924,2,1,0,4,NA,NA,NA
1754,2007,"Average",1,520,1,1,0,3,NA,NA,NA
1951,2003,"Average",1.5,1555,3,1,1,6,3.04,259000,"SCOTTSVILLE"
1951,1998,"Average",1.4,2010,3,1,1,6,2.026,276700,"SCOTTSVILLE"
1953,NA,"Average",1,2014,4,4,0,7,2,335000,"SCOTTSVILLE"
1955,NA,"Fair",2,2557,4,3,0,8,2.383,337100,"SCOTTSVILLE"
1940,NA,"Average",1,2163,4,2,0,9,6.645,344300,"SCOTTSVILLE"
1973,NA,"Average",1,1681,4,2,1,8,2,255700,"SCOTTSVILLE"
2006,NA,"Average",1,1673,3,2,0,5,3.015,257700,"SCOTTSVILLE"
1969,NA,"Average",1,2995,4,2,1,8,22.53,715200,"SCOTTSVILLE"
1967,NA,"Average",1,1740,3,2,0,8,7.94,378900,"SCOTTSVILLE"
1951,2008,"Average",1.5,1525,4,2,0,7,1.18,230400,"SCOTTSVILLE"
1962,NA,"Average",1,2807,3,3,1,7,11.971,592100,"SCOTTSVILLE"
1965,NA,"Average",1,1612,3,1,1,7,2.539,248500,"SCOTTSVILLE"
1965,NA,"Average",1,1446,4,3,0,10,1.56,315300,"SCOTTSVILLE"
1996,NA,"Average",1,1216,3,2,0,6,2,219900,"SCOTTSVILLE"
1754,1986,"Average",1.75,1724,3,2,1,7,2.3,273800,"SCOTTSVILLE"
1847,NA,"Average",2,4246,6,6,1,9,NA,NA,NA
1754,1995,"Good",2,966,3,2,0,6,NA,NA,NA
1835,1999,"Good",1.7,3476,5,4,2,7,NA,NA,NA
1754,2000,"Good",1,798,1,1,0,3,NA,NA,NA
1754,NA,"Average",1,440,1,1,0,3,NA,NA,NA
1914,2006,"Good",1.7,3643,6,3,1,9,5.236,664400,"SCOTTSVILLE"
1950,NA,"Average",1.5,1799,3,2,0,6,0.8,250000,"SCOTTSVILLE"
1955,NA,"Average",1,1922,2,2,0,5,1.081,290700,"SCOTTSVILLE"
1969,1983,"Average",1,2897,4,2,1,9,4.2,532200,"SCOTTSVILLE"
1997,NA,"Average",1.8,3014,3,3,1,8,NA,NA,NA
1754,NA,"Fair",1.1,1911,2,2,0,5,NA,NA,NA
1990,NA,"Average",1.3,1364,2,2,1,5,2.51,213200,"SCOTTSVILLE"
1880,1994,"Good",1.9,5368,4,3,1,8,NA,NA,NA
1880,1978,"Average",1.3,903,1,1,0,4,NA,NA,NA
1920,1981,"Fair",1.7,2152,5,2,0,7,5.9,275600,"SCOTTSVILLE"
1983,NA,"Average",1,1274,5,1,0,7,2,240200,"SCOTTSVILLE"
1980,NA,"Average",0,854,2,1,0,0,7,99600,"SCOTTSVILLE"
2002,NA,"Average",1,1976,3,2,0,7,2.5,97200,"SCOTTSVILLE"
2005,NA,"Average",1,1539,2,2,0,5,2.979,106300,"SCOTTSVILLE"
2003,NA,"Average",1.7,1728,2,3,1,5,3.996,281500,"SCOTTSVILLE"
1995,NA,"Good",1,2016,3,2,0,7,38.604,485800,"SCOTTSVILLE"
1950,1986,"Average",1,1320,3,1,0,5,1.25,264300,"SCOTTSVILLE"
1954,1996,"Average",1,1104,3,2,0,6,0.87,199800,"SCOTTSVILLE"
1955,NA,"Fair",1,961,3,1,0,6,0.82,130000,"SCOTTSVILLE"
1969,NA,"Average",1,1614,3,2,0,7,1.26,273400,"SCOTTSVILLE"
1995,NA,"Average",1,1267,3,2,0,5,2,204300,"SCOTTSVILLE"
1994,NA,"Average",1,1292,3,2,0,6,2,213600,"SCOTTSVILLE"
1951,NA,"Average",1,1789,3,2,0,7,1.193,276300,"SCOTTSVILLE"
1920,1992,"Good",2,1848,4,2,0,6,0.96,199600,"SCOTTSVILLE"
2001,NA,"Average",1,1440,2,2,0,5,2.683,243000,"SCOTTSVILLE"
2003,NA,"Average",1,1620,3,2,0,6,2.235,180200,"SCOTTSVILLE"
1958,NA,"Average",2.3,2163,3,1,1,7,1.533,284100,"SCOTTSVILLE"
1740,1980,"Good",1.3,2036,4,2,1,8,5,728200,"SCOTTSVILLE"
1754,NA,"Average",1,1447,3,2,0,10,NA,NA,NA
1754,2003,"Average",1,1236,2,1,0,6,NA,NA,NA
1754,NA,"Very Poor",1,730,2,1,0,0,NA,NA,NA
1978,NA,"Average",1.7,2534,4,3,1,7,2.793,347400,"SCOTTSVILLE"
1996,NA,"Average",1.3,2708,5,4,0,7,2.192,488000,"SCOTTSVILLE"
1977,NA,"Good",1.9,2551,4,2,0,8,2.15,386300,"SCOTTSVILLE"
1999,NA,"Good",1,2112,3,3,0,8,2.523,415400,"SCOTTSVILLE"
1997,NA,"Average",1,1938,3,2,0,6,3.397,318800,"SCOTTSVILLE"
1979,NA,"Average",1,1484,3,2,0,7,2.267,263700,"SCOTTSVILLE"
1994,NA,"Excellent",1,1664,3,3,0,7,2.126,357600,"SCOTTSVILLE"
1997,NA,"Good",1,2462,3,2,1,6,2.013,418800,"SCOTTSVILLE"
1978,NA,"Average",2,1888,4,3,0,7,2.118,271300,"SCOTTSVILLE"
1986,NA,"Excellent",1.3,1622,3,2,0,6,2.191,337000,"SCOTTSVILLE"
1991,NA,"Good",1.7,1775,2,2,1,6,2.501,365400,"SCOTTSVILLE"
2001,NA,"Average",1.5,2096,3,3,1,5,2.127,350600,"SCOTTSVILLE"
1999,NA,"Good",1,1500,4,3,0,6,3.041,313300,"SCOTTSVILLE"
1985,NA,"Good",1.7,2578,4,2,1,7,2.147,483000,"SCOTTSVILLE"
1979,NA,"Good",1.5,2442,3,2,0,6,2.124,396200,"SCOTTSVILLE"
1991,NA,"Good",1.7,2500,3,2,0,7,2.089,435100,"SCOTTSVILLE"
1986,NA,"Good",1.7,2416,4,3,0,8,2.231,383600,"SCOTTSVILLE"
1983,2008,"Poor",1.7,2033,4,2,0,7,2.481,78700,"SCOTTSVILLE"
1988,NA,"Good",2,1691,4,2,1,8,2.147,292300,"SCOTTSVILLE"
2009,NA,"Average",1,2152,4,2,1,6,2.15,315800,"SCOTTSVILLE"
1978,NA,"Good",1,1400,4,3,0,8,2.675,313800,"SCOTTSVILLE"
1963,NA,"Average",1,2022,3,2,0,7,1.435,336200,"SCOTTSVILLE"
1930,NA,"Average",1,1492,2,3,0,5,0.907,225800,"SCOTTSVILLE"
1832,1986,"Average",2,2920,7,7,0,10,NA,NA,NA
NA,NA,NA,1,740,1,1,0,4,NA,NA,NA
1990,NA,"Average",1,1454,2,2,0,0,NA,NA,NA
1993,NA,"Average",1,561,2,1,0,3,NA,NA,NA
1912,1950,"Average",2,2120,4,1,0,7,4.838,320900,"SCOTTSVILLE"
1912,2004,"Average",1.9,1888,3,2,0,6,0.43,262100,"SCOTTSVILLE"
1920,2009,"Fair",1.5,852,2,1,0,5,1.309,137300,"SCOTTSVILLE"
1924,NA,"Average",1.9,1876,3,2,0,7,0.426,239500,"SCOTTSVILLE"
1924,NA,"Average",1.7,1508,3,1,1,7,0.383,197700,"SCOTTSVILLE"
1924,2008,"Average",1.3,1218,3,2,0,6,0.328,166800,"SCOTTSVILLE"
1926,NA,"Average",1.3,1132,3,2,0,6,0.711,169400,"SCOTTSVILLE"
1950,NA,"Good",1.3,1959,3,2,0,6,0.403,275300,"SCOTTSVILLE"
1754,1999,"Average",1,2140,3,2,0,6,0.653,289400,"SCOTTSVILLE"
1940,NA,"Average",1.5,1751,4,1,1,7,0.961,168900,"SCOTTSVILLE"
1973,NA,"Poor",1,1524,3,2,0,6,1.49,192300,"SCOTTSVILLE"
1800,NA,"Average",2,2830,4,2,0,7,2.761,231300,"SCOTTSVILLE"
1972,NA,"Average",1,1084,3,1,0,5,1.696,192800,"SCOTTSVILLE"
1910,NA,"Average",1.3,1856,3,2,0,6,3.915,259200,"SCOTTSVILLE"
1870,NA,"Average",1,1472,3,1,0,5,3.5,243500,"SCOTTSVILLE"
1928,NA,"Poor",1,1008,3,1,0,5,1.38,56500,"SCOTTSVILLE"
1991,NA,"Average",1,1320,3,2,0,5,1.636,195400,"SCOTTSVILLE"
1950,1974,"Poor",1,836,3,1,0,6,0.901,75500,"SCOTTSVILLE"
1925,NA,"Average",1,1008,2,1,0,4,0.56,104500,"SCOTTSVILLE"
1925,NA,"Average",1.5,3186,6,4,0,10,1.818,290300,"SCOTTSVILLE"
1930,NA,"Average",1,1312,3,2,0,5,1.29,181400,"SCOTTSVILLE"
1966,NA,"Average",1,1075,3,1,1,6,1.46,257900,"SCOTTSVILLE"
NA,NA,NA,1,1512,3,2,NA,5,1.16,150000,"SCOTTSVILLE"
1915,1999,"Average",2.3,3335,5,3,1,10,NA,NA,NA
2007,NA,"Average",1,700,1,1,0,4,NA,NA,NA
1912,1995,"Average",2,1728,3,1,1,6,2.497,265700,"SCOTTSVILLE"
1890,2002,"Good",1,912,2,1,0,5,0.213,124400,"SCOTTSVILLE"
1900,1992,"Good",2,1648,2,2,0,5,0.447,263900,"SCOTTSVILLE"
1922,1998,"Poor",1,1119,3,1,0,5,1.66,106100,"SCOTTSVILLE"
1925,NA,"Average",1,2042,2,1,0,5,0,225800,"SCOTTSVILLE"
1925,NA,"Average",1,720,2,1,0,5,0,116900,"SCOTTSVILLE"
1850,1991,"Good",2,2760,4,2,0,7,1.67,401100,"SCOTTSVILLE"
1950,NA,"Average",1,1496,3,2,0,6,0.58,186500,"SCOTTSVILLE"
1952,NA,"Average",1,1148,2,1,0,4,0.283,158600,"SCOTTSVILLE"
1910,1978,"Good",1.7,2218,3,2,0,6,0,314000,NA
1910,1978,"Average",1.69,2218,3,2,0,6,3,303200,"SCOTTSVILLE"
1910,1978,"Average",1.69,2218,3,2,0,6,3,303200,"SCOTTSVILLE"
NA,NA,NA,NA,NA,NA,NA,NA,NA,5.28,65700,NA
1913,NA,"Average",1,1561,3,2,0,6,1.411,232700,"SCOTTSVILLE"
1948,NA,"Fair",1,958,3,1,0,5,0.796,150600,"SCOTTSVILLE"
1895,1998,"Good",1.7,2830,5,2,1,9,0.914,318900,"SCOTTSVILLE"
1949,NA,"Good",1.5,1598,3,2,0,6,1.34,278100,"SCOTTSVILLE"
1910,NA,"Good",1,1359,2,1,0,5,1.946,214000,"SCOTTSVILLE"
1890,1982,"Good",1,1596,3,2,0,7,4.688,303700,"SCOTTSVILLE"
2000,NA,"Average",1,1400,1,1,0,4,2.304,222000,"SCOTTSVILLE"
1940,1996,"Average",1,1590,2,1,0,5,0.823,208500,"SCOTTSVILLE"
1960,2000,"Average",1,1794,2,2,1,6,1,201600,"SCOTTSVILLE"
1961,2005,"Average",1,1348,2,2,0,5,0.15,224300,"SCOTTSVILLE"
1963,NA,"Average",1,1560,3,1,1,7,0,224400,"SCOTTSVILLE"
1995,NA,"Average",1,1144,2,2,0,4,0.2,165300,"SCOTTSVILLE"
1800,2000,"Good",1.3,1362,3,2,0,5,0.362,162000,"SCOTTSVILLE"
1945,NA,"Poor",1,768,3,1,0,5,NA,NA,NA
1945,NA,"Poor",1,768,3,1,0,5,NA,NA,NA
1945,NA,"Poor",1,768,3,1,0,5,NA,NA,NA
1945,NA,"Very Poor",1,768,3,1,0,5,NA,NA,NA
1945,NA,"Poor",1,768,3,1,0,5,NA,NA,NA
1754,NA,"Average",1.3,1302,3,1,0,5,0.242,128100,"SCOTTSVILLE"
1754,2001,"Average",2,1694,3,1,1,6,0.35,165200,"SCOTTSVILLE"
1754,NA,"Average",1.5,1244,2,1,0,6,0.311,125400,"SCOTTSVILLE"
NA,NA,NA,1,176,1,1,0,2,0.025,48600,"SCOTTSVILLE"
1735,1982,"Average",1,1625,4,3,0,8,0,282900,"SCOTTSVILLE"
1754,NA,"Good",1,875,2,1,0,4,0,153800,"SCOTTSVILLE"
1897,1994,"Good",2,2292,4,1,1,7,0.162,394100,"SCOTTSVILLE"
1790,1988,"Average",1.5,2448,4,2,1,7,0.238,329200,"SCOTTSVILLE"
1836,2007,"Good",1.9,2306,4,2,1,9,0.45,444800,"SCOTTSVILLE"
1912,2006,"Average",1.7,1624,3,3,0,6,0.2,279900,"SCOTTSVILLE"
1732,2002,"Average",1.3,2144,2,2,3,7,0,397000,"SCOTTSVILLE"
1945,2008,"Average",1,1234,3,1,0,5,0.198,184000,"SCOTTSVILLE"
1945,NA,"Poor",1.3,1118,0,1,0,0,0.086,57900,"SCOTTSVILLE"
1912,NA,"Average",1,1171,2,2,0,4,0.116,163200,"SCOTTSVILLE"
1900,NA,"Average",1.7,1596,4,2,0,6,0,190900,"SCOTTSVILLE"
1920,NA,"Average",1.9,1784,2,1,1,6,0,178900,"SCOTTSVILLE"
1898,1975,"Fair",2,1600,4,2,0,6,0.216,111300,"SCOTTSVILLE"
1896,NA,"Fair",2,2080,4,2,0,6,0.106,139300,"SCOTTSVILLE"
1914,1996,"Good",1,1092,2,1,0,5,0,160100,"SCOTTSVILLE"
1800,1984,"Fair",1.3,1628,3,1,0,5,0.242,144000,"SCOTTSVILLE"
1732,1995,"Good",1.3,1365,3,2,0,5,0,273900,"SCOTTSVILLE"
1934,2013,"Average",1.9,3764,4,4,0,7,0.47,521400,"SCOTTSVILLE"
1830,NA,"Average",1.9,2536,3,1,1,7,0.691,564500,"SCOTTSVILLE"
1933,NA,"Average",1.9,2048,3,2,1,6,0.251,285400,"SCOTTSVILLE"
1949,NA,"Average",2,2700,6,2,0,12,0,225500,"SCOTTSVILLE"
1932,1982,"Average",2,2865,4,2,0,6,0,333300,"SCOTTSVILLE"
1914,NA,"Good",2,3292,4,2,1,8,0,508700,"SCOTTSVILLE"
1830,NA,"Average",2,2416,3,2,0,7,0.613,376400,"SCOTTSVILLE"
1800,NA,"Fair",1.9,2591,4,1,1,7,3,210000,"SCOTTSVILLE"
1947,NA,"Good",1.9,1875,3,1,1,7,NA,NA,NA
1930,NA,"Average",1,2740,6,4,0,11,0.555,215800,"SCOTTSVILLE"
1961,NA,"Average",1,1132,3,1,1,7,0.47,217700,"SCOTTSVILLE"
1962,NA,"Fair",1,896,2,1,0,5,0.5,142000,"SCOTTSVILLE"
1932,NA,"Average",1.5,1544,3,2,0,6,0.5,199600,"SCOTTSVILLE"
1824,1994,"Average",1.5,1800,2,3,0,5,1.05,541300,"SCOTTSVILLE"
1842,2000,"Excellent",1.7,2064,3,2,2,8,0,579700,"SCOTTSVILLE"
1930,NA,"Good",2,1680,4,1,1,7,0.153,269800,"SCOTTSVILLE"
1930,NA,"Average",2,1728,3,1,1,7,0,230200,"SCOTTSVILLE"
1941,1998,"Good",1.5,1411,3,2,1,6,0,203200,"SCOTTSVILLE"
1900,2003,"Average",2,1832,4,2,0,8,0.175,171500,"SCOTTSVILLE"
1754,NA,"Fair",1,832,3,1,0,5,0.087,73600,"SCOTTSVILLE"
1754,NA,"Fair",1,852,3,1,0,5,0.067,70800,"SCOTTSVILLE"
1754,NA,"Very Poor",1.3,704,2,1,0,5,0.072,37100,"SCOTTSVILLE"
1754,NA,"Fair",1,704,2,1,0,6,0,71900,"SCOTTSVILLE"
1754,NA,"Fair",1,832,3,1,0,5,NA,NA,NA
1754,NA,"Fair",1,832,5,2,0,9,NA,NA,NA
1754,2006,"Fair",1,768,2,1,0,5,0.055,56600,"SCOTTSVILLE"
1957,NA,"Average",1,875,2,1,0,4,0,122000,"SCOTTSVILLE"
1919,NA,"Average",1,1202,3,1,0,7,0,138500,"SCOTTSVILLE"
1754,NA,"Poor",1,689,2,1,0,4,NA,NA,NA
1754,NA,"Poor",1,681,2,1,0,4,NA,NA,NA
1754,NA,"Poor",1,709,2,1,0,4,NA,NA,NA
1754,2009,"Fair",1.3,1140,2,1,0,5,0.152,66300,"SCOTTSVILLE"
1754,2010,"Average",1.3,1318,3,2,0,6,0.12,176700,"SCOTTSVILLE"
1754,NA,"Fair",1,832,4,2,0,8,0.13,73900,"SCOTTSVILLE"
1930,1966,"Average",1.7,1491,3,1,0,6,0,179900,"SCOTTSVILLE"
1916,1999,"Average",2,1796,4,2,0,7,0.192,175000,"SCOTTSVILLE"
1916,1999,"Average",1.9,2779,4,3,0,7,0.287,356100,"SCOTTSVILLE"
1942,NA,"Poor",2,1350,3,1,0,6,0,108300,"SCOTTSVILLE"
NA,NA,NA,NA,2664,2,2,NA,5,0.103,130300,"SCOTTSVILLE"
1835,1963,"Fair",1,1096,4,2,0,6,0.103,117000,"SCOTTSVILLE"
1940,NA,"Poor",2,1834,3,2,0,6,0,132900,"SCOTTSVILLE"
1930,NA,"Average",1,460,1,1,0,2,0.023,57300,"SCOTTSVILLE"
1939,NA,"Average",1.7,1563,3,2,0,6,0,160500,"SCOTTSVILLE"
1926,2008,"Good",1,1632,3,2,0,5,0,262400,"SCOTTSVILLE"
1754,2011,"Good",1,1968,2,2,1,0,6.37,284000,"SCOTTSVILLE"
1957,NA,"Average",1,984,3,1,0,6,4.07,173400,"SCOTTSVILLE"
1966,NA,"Average",1,1956,4,1,0,5,2.56,240100,"SCOTTSVILLE"
1973,NA,"Average",1,1403,3,2,0,5,NA,NA,NA
1754,NA,"Average",1.5,1738,2,2,0,6,NA,NA,NA
1979,2006,"Average",1.5,1992,3,2,1,7,8.256,391000,"SCOTTSVILLE"
1903,1989,"Average",1.9,3356,4,3,1,8,48.06,980100,"SCOTTSVILLE"
1940,NA,"Average",1,1327,3,1,0,6,45,479900,"SCOTTSVILLE"
1969,NA,"Poor",1,1150,3,1,0,5,127.192,696100,"SCOTTSVILLE"
1962,NA,"Good",1,1092,3,1,0,5,1,221000,"SCOTTSVILLE"
1976,NA,"Average",1.5,1653,3,2,0,5,5.81,300700,"SCOTTSVILLE"
1986,NA,"Average",1,1152,3,2,0,5,2,95400,"SCOTTSVILLE"
1993,NA,"Average",1,1144,2,2,0,5,2,88300,"SCOTTSVILLE"
1910,2004,"Average",1.7,1510,3,1,0,5,2.558,168100,"SCOTTSVILLE"
1972,NA,"Average",1,1008,3,1,0,5,1.43,167200,"SCOTTSVILLE"
1968,NA,"Average",1,1000,3,1,0,5,1.03,164400,"SCOTTSVILLE"
1930,NA,"Average",1.7,1568,3,2,0,7,5,270700,"SCOTTSVILLE"
1956,2001,"Good",1,1708,3,2,0,6,1.494,250500,"SCOTTSVILLE"
1754,1997,"Average",1.3,2144,2,2,0,6,39.144,415400,"SCOTTSVILLE"
1957,NA,"Average",1,975,3,1,0,5,2,172700,"SCOTTSVILLE"
